Sport,Name,sport_name,Time,TSS,Swim_ind,Bike_ind,Run_ind,Recovery_ind,Elite_ind,Prep_ind,Base 1_ind,Base 2_ind,Base 3_ind,Build 1_ind,Build 2_ind,Peak_ind,E_ind,S_ind,M_Ind,P_ind,F_ind,A_ind
Bike,M4.1lt,BikeM4,30,42,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.2lt,BikeM4,22.5,29,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.3lt,BikeM4,22.5,30.5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.4lt,BikeM4,30.5,37.5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M5.1lt,BikeM5,37.5,42.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Bike,M5.2lt,BikeM5,43,47.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Bike,P1.1lt,BikeP1,36.5,33,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Bike,S1.1lt,BikeS1,30,21,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.1alt,BikeS1,22.5,15,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.2lt,BikeS1,35,20.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.3lt,BikeS1,30,18,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.4lt,BikeS1,29.5,21,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.5lt,BikeS1,48.16665,30.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.6lt,BikeS1,32.5,24,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.6alt,BikeS1,23,17,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.6blt,BikeS1,12.5,9.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.2alt,BikeS1,25,15,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
